postLinks;posts;votes;comments,1.0;0.9992171870922849;0.7985496117474826;0.9945268351452913, 17462.27 , 59143 , 129.655 , 176191
postLinks;posts;users;comments,1.0;1.0;0.981401115933044;0.9767624624753862, 10347.16 , 19724 , 40.621 , 25033
posts;users;votes;comments,0.9924980429677307;0.9591798208065359;0.007895787899337571;0.7736697056354698, 6383.6 , 6466534 , 31.034 , 42036
posts;users;votes;badges,0.9919000608854484;1.0;1.0;1.0, 35575.21 , 10845271 , 2394.409 , 16049150
posts;users;votes;badges,0.009537542756696542;0.9567152195294817;0.9994635193133047;0.9839380491693073, 14140.12 , 685385 , 204.728 , 595820
posts;users;votes;badges,0.4052160648550295;1.0;1.0;1.0, 5948.07 , 156616 , 75517.856 , 232039659
posts;users;votes;badges,0.4647666046338018;0.9666212027278364;0.9935378462738977;0.9377340188086637, 6298.6 , 162314 , 5208.369 , 6672465
users;postHistory;votes;comments,0.9811261736372974;0.8941967702124969;0.9942051732761449;0.9910296657663135, 73754.57 , 871417450 , 8563.784 , 19402569
users;postHistory;votes;comments,0.734935550990282;1.0;0.010470375887829135;1.0, 7344.36 , 3929321 , 150.887 , 6299
badges;users;votes;comments,1.0;0.9962306261624303;1.0;0.14325879985248383, 9178.85 , 94221493 , 102630.808 , 593169291
badges;users;votes;comments,1.0;0.9328141066953688;0.010559892799639545;0.7738561716531367, 2644.2 , 2632756 , 898.69 , 3169724
badges;users;votes;comments,1.0;0.9692746435213887;0.00011044736940519083;0.7738561716531367, 2560.03 , 2655092 , 50.533 , 52313
postLinks;postHistory;votes;comments,1.0;0.9090064745857116;1.0;1.0, 57713.41 , 1651730 , 545.551 , 1633681
badges;users;postHistory;comments,0.9894177906350577;1.0;0.14089292373524356;0.7609836609897455, 118900.62 , 2308510589 , 16020.526 , 105742741
badges;users;postHistory;comments,1.0;0.9426498051957538;0.2170240528942023;0.773123626583731, 168063.68 , 3450284814 , 444.77 , 2034610
postLinks;posts;users;badges,0.917492343721852;0.9549257848953295;0.9688116849163676;1.0, 7619.92 , 18259 , 29.33 , 28565
postLinks;posts;users;badges,0.967303188614664;0.0011917287887035185;0.9025673432452682;0.996493469086173, 3625.2 , 156 , 8.384 , 1717
posts;users;postHistory;votes,0.46013259940041734;1.0;1.0;1.0, 32762.8 , 490181 , 490.893 , 896180
posts;users;postHistory;badges,0.9999130207880317;0.9931060136391816;0.14156609617166963;1.0, 19172.55 , 14302060 , 1236.133 , 7661811
posts;users;postHistory;badges,0.013673982283839188;0.9638296405253503;0.971142667611378;1.0, 13988.92 , 2731413 , 564.768 , 2101105
users;postHistory;votes;badges,0.022553545108981513;0.3033639305115325;1.0;0.9905388160033226, 4536.45 , 138019 , 212.338 , 6272
posts;users;votes;comments,1.0;0.9871791692498451;1.0;0.7738561716531367, 36957.89 , 1015356 , 423.29 , 209182
posts;postHistory;votes;comments,1.0;1.0;0.9994635193133047;1.0, 91355.87 , 4069002 , 1180.931 , 4254157
posts;postHistory;votes;comments,1.0;0.9904382443838291;0.798978248146703;0.7647015781191085, 71946.4 , 2468257 , 753.105 , 2016238
posts;users;votes;comments,0.0009002172138566216;0.9914693118412895;1.0;0.9967298700553627, 16596.78 , 27817157 , 8350.171 , 56359398
posts;users;votes;comments,0.4659795487101706;0.966132444809666;0.9987380511119781;1.0, 63995.44 , 443449450 , 8015.825 , 40855663
posts;users;votes;comments,0.4666543446116378;0.9751022938623682;1.0;0.7738561716531367, 53698.26 , 350324841 , 372.663 , 1490297
posts;users;votes;comments,0.45188535472463187;0.9777153584349726;1.0;1.0, 25262.59 , 270376 , 231.782 , 303210
