movie_companies;movie_info_idx;title,0.5116201613641947;0.00018115482578340405;1.0, 2870.34 ,645, 5.367 , 715
movie_companies;movie_info_idx;title,0.5116201613641947;7.246193031336162e-06;0.3046905573083653, 17.66 ,29, 0.112 , 9
movie_companies;movie_info_idx;title,0.5116201613641947;0.00018115482578340405;0.15491205199358307, 2761.68 ,19, 0.378 , 47
movie_companies;movie_info_idx;title,0.5116201613641947;7.246193031336162e-06;0.5463934039786229, 17.52 ,86, 0.07 , 16
movie_companies;movie_keyword;title,1.0;0.009248595800553943;1.0, 102758.77 ,141387, 137.628 , 148552
movie_info;movie_keyword;title,1.0;1.0;0.4006309347896937, 1183435.83 ,46110672, 13498.087 , 62682311
movie_info;movie_keyword;title,1.0;1.0;0.15491205199358307, 953600.77 ,28319074, 4981.818 , 11990578
movie_info;movie_keyword;title,1.0;1.0;0.6917785463186505, 1373002.9 ,77601928, 25970.537 , 157041640
movie_info_idx;movie_keyword;title,0.33327053299372844;1.0;0.4006309347896937, 190319.48 ,590907, 698.497 , 850677
movie_info_idx;movie_keyword;title,0.33327053299372844;1.0;0.15491205199358307, 138845.65 ,295583, 321.773 , 179616
movie_info_idx;movie_keyword;title,0.33327053299372844;1.0;0.6917785463186505, 228277.98 ,1453289, 1152.133 , 2031666
movie_info;movie_companies;title,1.0;0.5116201613641947;0.4006309347896937, 838077.13 ,6948331, 3264.049 , 6333736
movie_info;movie_companies;title,1.0;0.5116201613641947;0.15491205199358307, 403965.0 ,4297800, 1193.162 , 1931628
movie_info;movie_companies;title,1.0;0.5116201613641947;0.6917785463186505, 1046631.34 ,12849463, 7135.698 , 12738520
movie_keyword;cast_info;title,3.094654426571587e-06;1.0;0.15491205199358307, 3172.86 ,694, 8.791 , 1224
movie_keyword;cast_info;title,1.0;1.0;0.00017323811301769718, 64518.63 ,10694, 55.464 , 13221
movie_keyword;cast_info;title,3.094654426571587e-06;1.0;0.00017323811301769718, 3140.06 ,19, 0.083 , 33
movie_keyword;cast_info;title,3.094654426571587e-06;1.0;0.5463934039786229, 3316.81 ,2607, 0.807 , 1224
movie_keyword;cast_info;title,1.0;1.0;0.5463934039786229, 2148019.88 ,93487496, 28101.684 , 114182642
cast_info;title,1.0;0.2456897125888285, 1130759.9 ,8927579, 3817.82 , 4533382
cast_info;title,1.0;0.1718486329972622, 562029.98 ,1237307, 1646.867 , 695701
cast_info;title,1.0;0.581299240758894, 1479214.98 ,21267856, 13227.9 , 21454165
movie_companies;cast_info;title,1.0;0.20560374882216106;1.0, 852040.54 ,10283777, 6626.362 , 13355828
movie_companies;cast_info;title,1.0;0.07529293398164415;1.0, 569293.13 ,2878113, 3995.676 , 4450853
movie_companies;cast_info;title,1.0;0.007626100226838152;1.0, 186451.34 ,6554682, 730.556 , 794591
movie_companies;cast_info;title,1.0;0.20560374882216106;0.38913766854637954, 654588.98 ,4406560, 4314.536 , 4893440
movie_companies;cast_info;title,1.0;0.20560374882216106;0.23610901195141368, 365267.42 ,2230322, 3539.697 , 1381288
movie_companies;cast_info;title,1.0;0.3495907664931113;0.4006309347896937, 934304.89 ,5918680, 6357.851 , 8720023
movie_companies;cast_info;title,1.0;0.3495907664931113;0.15491205199358307, 607275.39 ,3438319, 4915.221 , 2873214
movie_companies;cast_info;title,1.0;1.0;0.6917785463186505, 2015680.7 ,48763736, 21493.831 , 56965403
movie_companies;movie_keyword;title,0.5116201613641947;0.0023307168766979153;0.3655962969929173, 45612.42 ,893, 46.397 , 7153
movie_companies;movie_keyword;title,0.5116201613641947;0.0023307168766979153;1.0, 47391.95 ,4757, 57.868 , 14102
movie_companies;movie_keyword;title,1.0;1.0;0.9046632694066239, 438672.82 ,26479232, 8387.052 , 31339132
movie_info;movie_companies;movie_info_idx;title,0.10339295969457499;0.5116201613641947;0.33327053299372844;0.26482937084763936, 106055.47 ,75650, 522.569 , 75440
movie_info;movie_companies;movie_info_idx;title,0.00821416149671199;1.0;7.246193031336162e-06;1.0, 19.04 ,260, 1.507 , 72
movie_info;movie_companies;movie_info_idx;title,0.10339295969457499;0.5116201613641947;0.33327053299372844;0.41554681955664136, 196542.72 ,118356, 1597.741 , 305691
movie_info;movie_companies;movie_info_idx;title,0.20468969487156674;0.5116201613641947;0.33327053299372844;0.26216107822135876, 173505.33 ,439337, 2501.476 , 1919495
movie_info;movie_info_idx;movie_keyword;title,0.08933580574451391;0.33327053299372844;1.0;0.040611910580120925, 100438.8 ,623862, 299.086 , 150780
